127.0.0.1 - - [19/Nov/2018:14:26:11 -0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:31:58 -0200] "GET /Zulu/ HTTP/1.1" 200 3044
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:31:58 -0200] "GET /Zulu/layout/css/estilo.css HTTP/1.1" 200 6257
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:31:58 -0200] "GET /Zulu/layout/imagens/logoteste.png HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:31:58 -0200] "GET /Zulu/addons/js/visitante.js HTTP/1.1" 200 7230
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:31:58 -0200] "GET /Zulu/paginas/visitante/main.html HTTP/1.1" 200 1397
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:31:58 -0200] "GET /Zulu/layout/imagens/favicon.png HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:31:59 -0200] "GET /Zulu/layout/imagens/fundoSapoLogo.png HTTP/1.1" 200 274693
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:31:59 -0200] "POST /Zulu/ConsultaRankingMaior HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:31:59 -0200] "POST /Zulu/ConsultaRankingTotal HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:08 -0200] "POST /Zulu/Login HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:08 -0200] "GET /Zulu/paginas/jogador/index.html HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:08 -0200] "GET /Zulu/addons/js/jogador.js HTTP/1.1" 200 7652
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:09 -0200] "POST /Zulu/ValidaSessao HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:09 -0200] "GET /Zulu/paginas/jogador/main.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:09 -0200] "GET /Zulu/addons/js/jogo.js HTTP/1.1" 200 88146
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:09 -0200] "GET /Zulu/addons/jogo/imagens/icones/botaoJogar.png HTTP/1.1" 200 3573
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:09 -0200] "GET /Zulu/addons/jogo/imagens/logo/logo.png HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:09 -0200] "GET /Zulu/addons/jogo/imagens/icones/botaoAjuda.png HTTP/1.1" 200 3577
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:09 -0200] "GET /Zulu/addons/jogo/imagens/fundo/fundoDesfocado.png HTTP/1.1" 200 264024
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:10 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:10 -0200] "POST /Zulu/ConsultaSapos HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:10 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:10 -0200] "GET /Zulu/addons/jogo/imagens/fundo/retanguloAzul.png HTTP/1.1" 200 3870
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:10 -0200] "GET /Zulu/addons/jogo/imagens/coresGirinos/girino1.png HTTP/1.1" 200 8328
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:10 -0200] "GET /Zulu/addons/jogo/imagens/fundo/fundoGirino.png HTTP/1.1" 200 45033
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:10 -0200] "GET /Zulu/addons/jogo/imagens/fundo/fundoGirinoNoite.png HTTP/1.1" 200 43859
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:11 -0200] "GET /Zulu/addons/jogo/imagens/icones/botaoOK.png HTTP/1.1" 200 9129
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:11 -0200] "GET /Zulu/addons/jogo/imagens/icones/loja.png HTTP/1.1" 200 12561
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:11 -0200] "GET /Zulu/addons/jogo/imagens/fundo/quadradoAzul.png HTTP/1.1" 200 7024
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:11 -0200] "GET /Zulu/addons/jogo/imagens/barrinhas/saude0.png HTTP/1.1" 200 3158
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:11 -0200] "GET /Zulu/addons/jogo/imagens/icones/botaoMenu.png HTTP/1.1" 200 4587
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:11 -0200] "GET /Zulu/addons/jogo/imagens/barrinhas/comida0.png HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:11 -0200] "GET /Zulu/addons/jogo/imagens/barrinhas/diversao0.png HTTP/1.1" 200 3289
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:11 -0200] "GET /Zulu/addons/jogo/imagens/icones/dinheiro.png HTTP/1.1" 200 7601
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:11 -0200] "GET /Zulu/addons/jogo/imagens/icones/bosta.png HTTP/1.1" 200 7912
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:11 -0200] "GET /Zulu/addons/jogo/imagens/icones/inventario.png HTTP/1.1" 200 7651
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:11 -0200] "GET /Zulu/addons/jogo/imagens/icones/controle.png HTTP/1.1" 200 9822
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:11 -0200] "POST /Zulu/ConverteTempo HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:11 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:11 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:30 -0200] "GET /Zulu/addons/jogo/imagens/coresSapo/sapoVermelho.png HTTP/1.1" 200 11751
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:30 -0200] "GET /Zulu/addons/jogo/imagens/coresSapo/sapoLaranja.png HTTP/1.1" 200 11755
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:30 -0200] "GET /Zulu/addons/jogo/imagens/coresSapo/sapoAmarelo.png HTTP/1.1" 200 11665
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:30 -0200] "GET /Zulu/addons/jogo/imagens/coresSapo/sapoRosa.png HTTP/1.1" 200 11738
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:30 -0200] "GET /Zulu/addons/jogo/imagens/coresSapo/sapoAzul.png HTTP/1.1" 200 11831
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:30 -0200] "GET /Zulu/addons/jogo/imagens/coresSapo/sapoRoxo.png HTTP/1.1" 200 11742
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:30 -0200] "GET /Zulu/addons/jogo/imagens/coresGirinos/girinoAzul.png HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:30 -0200] "GET /Zulu/addons/jogo/imagens/coresGirinos/girinoLaranja.png HTTP/1.1" 200 8029
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:30 -0200] "GET /Zulu/addons/jogo/imagens/coresGirinos/girinoCinza.png HTTP/1.1" 200 8078
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:30 -0200] "GET /Zulu/addons/jogo/imagens/coresGirinos/girinoRosa.png HTTP/1.1" 200 8095
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:30 -0200] "GET /Zulu/addons/jogo/imagens/coresGirinos/girinoRoxo.png HTTP/1.1" 200 8094
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:30 -0200] "GET /Zulu/addons/jogo/imagens/coresGirinos/girino2.png HTTP/1.1" 200 8298
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:30 -0200] "GET /Zulu/addons/jogo/imagens/icones/botaoFechar.png HTTP/1.1" 200 15149
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:30 -0200] "POST /Zulu/ConsultaProdutos HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:31 -0200] "POST /Zulu/AtualizaDados HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:31 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:31 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:31 -0200] "POST /Zulu/ConverteTempo HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:32:43 -0200] "POST /Zulu/ConsultaProdutos HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:34:53 -0200] "GET /Zulu/paginas/jogador/index.html HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:34:53 -0200] "GET /Zulu/layout/css/estilo.css HTTP/1.1" 200 6257
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:34:53 -0200] "GET /Zulu/addons/js/jogador.js HTTP/1.1" 200 7652
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:34:54 -0200] "POST /Zulu/ValidaSessao HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:34:55 -0200] "POST /Zulu/ConsultaSapos HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:34:55 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:34:55 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:34:56 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:34:56 -0200] "POST /Zulu/ConverteTempo HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:34:56 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:34:58 -0200] "GET /Zulu/paginas/jogador/index.html HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:34:59 -0200] "GET /Zulu/addons/js/jogador.js HTTP/1.1" 200 7652
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:34:59 -0200] "GET /Zulu/layout/css/estilo.css HTTP/1.1" 200 6257
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:34:59 -0200] "POST /Zulu/ValidaSessao HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:01 -0200] "POST /Zulu/ConsultaSapos HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:01 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:01 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:01 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:01 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:01 -0200] "POST /Zulu/ConverteTempo HTTP/1.1" 200 10
